Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) ",,
42.5,0,0,1820,0,720,640,28,24.1,,
42.5,0,0,1750,0,720,640,28,24,,
42.5,0,0,1800,0,720,640,28,23.9,,
42.5,0,0,1820,0,720,640,28,23.8,,
42.5,0,0,1750,0,720,640,28,22.8,,
42.5,0,0,1750,0,720,640,28,22.1,,
42.5,0,0,1820,0,720,320,28,24.5,,
42.5,0,0,1750,0,720,320,28,24.35,,
42.5,0,0,1800,0,720,320,28,24.2,,
42.5,0,0,1820,0,720,320,28,24,,
42.5,0,0,1750,0,720,320,28,23.2,,
42.5,0,0,1750,0,720,320,28,22.5,,
42.5,0,0,1820,0,720,256,28,24.6,,
42.5,0,0,1750,0,720,256,28,24.2,,
42.5,0,0,1800,0,720,256,28,23.8,,
42.5,0,0,1820,0,720,256,28,23.3,,
42.5,0,0,1750,0,720,256,28,22.6,,
42.5,0,0,1820,0,720,256,28,22.1,,
42.5,0,0,1750,0,720,640,28,22.5,,
42.5,0,0,1820,0,720,640,28,22.1,,
42.5,0,0,1750,0,720,640,28,21.6,,
42.5,0,0,1750,0,720,640,28,21.5,,
42.5,0,0,1820,0,720,640,28,20.5,,
42.5,0,0,1820,0,720,640,28,20,,
42.5,0,0,1750,0,720,320,28,22.7,,
42.5,0,0,1750,0,720,320,28,22.3,,
42.5,0,0,1820,0,720,320,28,21.7,,
42.5,0,0,1750,0,720,320,28,21.1,,
42.5,0,0,1800,0,720,320,28,20.5,,
42.5,0,0,1820,0,720,320,28,19.8,,
42.5,0,0,1750,0,720,256,28,22.9,,
42.5,0,0,1750,0,720,256,28,22.5,,
42.5,0,0,1820,0,720,256,28,22,,
42.5,0,0,1750,0,720,256,28,21.4,,
42.5,0,0,1800,0,720,256,28,20.8,,
42.5,0,0,1820,0,720,256,28,20.1,,
42.5,0,0,1750,0,700,590,28,25.8,,
42.5,0,0,1750,0,700,590,28,24.5,,
42.5,0,0,1720,0,700,590,28,25,,
42.5,0,0,1720,0,700,590,28,24.4,,
42.5,0,0,1720,0,700,590,28,23.9,,
42.5,0,0,1720,0,700,590,28,23.1,,
35,0,0,1750,0,720,640,28,22.6,,
35,0,0,1750,0,720,640,28,22.1,,
35,0,0,1820,0,720,640,28,21.7,,
35,0,0,1750,0,720,640,28,21.2,,
35,0,0,1800,0,720,640,28,20.5,,
35,0,0,1820,0,720,640,28,19.4,,
35,0,0,1750,0,720,640,28,22.6,,
35,0,0,1750,0,720,640,28,22.2,,
35,0,0,1820,0,720,640,28,21.7,,
35,0,0,1750,0,720,640,28,21.2,,
35,0,0,1800,0,720,640,28,20.5,,
35,0,0,1820,0,720,640,28,20,,
35,0,0,1750,0,720,256,28,22.8,,
35,0,0,1750,0,720,256,28,22.4,,
35,0,0,1820,0,720,256,28,21.8,,
35,0,0,1750,0,720,256,28,21,,
35,0,0,1800,0,720,256,28,20.3,,
35,0,0,1820,0,720,256,28,19.8,,
35,0,0,1750,0,720,320,28,22.5,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
