 Group,Ash ,Days,Elastic,Flexural,Splitting,Compresive
1,0,7,18.7,2.4,1.91,14.6
1,0,7,17.6,2.6,1.75,14
1,0,7,17.8,2.5,2.07,13.7
1,0,28,21.5,3.5,2.54,19.1
1,0,28,21.6,3.4,2.7,17.8
1,0,28,20.5,3.7,2.45,18.4
1,0,56,21.6,4.1,2.91,19.3
1,0,56,21.7,4.8,2.76,19.1
1,0,56,21.5,4,2.87,20.3
1,0,90,22.8,4.5,3.11,21.6
1,0,90,22.9,4.8,2.92,21.1
1,0,90,22.7,4.9,3.04,20.3
1,0,150,24,5.22,3.18,22
1,0,150,24.2,4.9,3.04,24.2
1,0,150,24.3,5.15,3.15,23.8
1,0,180,24.7,5.12,3.5,24.2
1,0,180,24.8,5.5,3.34,25.6
1,0,180,24.6,5.6,3.4,24.8
1,25,7,17.5,2.2,1.51,14.1
1,25,7,17.7,2.5,1.35,15.2
1,25,7,17.9,2.32,1.77,12.7
1,25,28,21.1,3.28,2.34,17.8
1,25,28,20.5,3.1,2.5,17.2
1,25,28,21,3.4,2.25,16.8
1,25,56,21.1,3.7,2.8,18.4
1,25,56,21.2,3.32,2.67,19.1
1,25,56,21,3.6,2.76,18.6
1,25,90,22.4,4,2.91,20.1
1,25,90,22.5,3.59,2.81,19.5
1,25,90,22.2,3.9,2.72,20.5
1,25,150,23.6,4.4,3.16,21.1
1,25,150,23.4,4.35,3.22,20.8
1,25,150,23.5,4.18,3.06,22
1,25,180,24.1,4.89,3.36,21.9
1,25,180,24.5,4.6,3.23,23.8
1,25,180,24.3,4.75,3.26,22.3
1,40,7,16.3,0.5,1.32,9.9
1,40,7,16.1,0.8,0.47,10.4
1,40,7,16.2,1.3,0.78,11.3
1,40,28,19.4,1.5,1.43,15.2
1,40,28,19.7,2,1.75,15.1
1,40,28,19.5,1.75,1.91,15.5
1,40,56,20.1,2.5,2.55,15.3
1,40,56,20.2,2.25,2.48,16.4
1,40,56,20.1,2.1,2.63,16.8
1,40,90,20.8,2.75,2.59,16.9
1,40,90,20.7,2.35,2.61,17.5
1,40,90,20.7,2.3,2.66,18
1,40,150,21.2,2.82,2.73,17.2
1,40,150,21.3,2.51,2.78,18.7
1,40,150,21.2,2.61,2.71,18.2
1,40,180,21.8,2.73,2.88,18.8
1,40,180,22,2.91,2.98,19.5
1,40,180,21.9,2.82,3,17.8
1,60,7,14.9,0,0.76,8.4
1,60,7,14.9,0.75,0.31,9.4
1,60,7,14.8,0.6,0.48,8.9
1,60,28,18.1,1,1.27,12.1
1,60,28,19,1.2,1.58,13.5
1,60,28,18.3,1.03,1.37,13.7
1,60,56,18.6,1.3,2.1,13.4
1,60,56,18.5,0.83,1.91,14.6
1,60,56,18.8,1.75,2.16,14.8
1,60,90,19.1,1.51,2.17,15.1
1,60,90,19.2,1.77,2.2,14.8
1,60,90,19.1,1.45,2.27,15.7
1,60,150,20,1.82,2.35,15.1
1,60,150,19.9,1.74,2.41,15.6
1,60,150,19.8,1.91,2.45,17.2
1,60,180,20.6,2.07,2.61,16.8
1,60,180,20.4,1.98,2.52,16.2
1,60,180,20.7,1.95,2.59,18
2,0,7,21.7,3.18,2.81,21.9
2,0,7,22.6,3.12,2.72,22.6
2,0,7,20.8,3.23,3.07,21
2,0,28,25.5,4.67,3.71,30.5
2,0,28,25.6,4.53,3.8,29.7
2,0,28,24.5,4.75,3.5,31.8
2,0,56,25.6,5.34,3.91,32.3
2,0,56,25.7,5.14,3.76,33.5
2,0,56,25.5,5.15,3.87,32
2,0,90,26.8,6.07,4.11,34.3
2,0,90,26.9,5.97,3.92,34.8
2,0,90,26.7,6.1,4.24,35.1
2,0,150,28,6.17,4.32,36.1
2,0,150,29.2,6.32,4.12,35.4
